structure,n_units,n_significant,n_robust,frac_significant,frac_robust,n_aud_higher_robust,n_vis_higher_robust,median_abs_log2_ratio_robust,n_sessions
SCdw,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0674,1.0000
SCig,13.0000,8.0000,8.0000,0.6154,0.6154,4.0000,4.0000,0.9076,1.0000
SCiw,15.0000,9.0000,9.0000,0.6000,0.6000,7.0000,2.0000,1.1470,1.0000
MPT,4.0000,2.0000,2.0000,0.5000,0.5000,0.0000,2.0000,0.6367,1.0000
OLF,30.0000,12.0000,12.0000,0.4000,0.4000,3.0000,9.0000,0.4610,4.0000
SCop,5.0000,2.0000,2.0000,0.4000,0.4000,1.0000,1.0000,0.4564,1.0000
AON,33.0000,13.0000,13.0000,0.3939,0.3939,3.0000,10.0000,0.4074,1.0000
ACAd,157.0000,60.0000,58.0000,0.3822,0.3694,18.0000,40.0000,0.8795,5.0000
CP,462.0000,167.0000,162.0000,0.3615,0.3506,77.0000,85.0000,1.2641,4.0000
ORBl,113.0000,40.0000,39.0000,0.3540,0.3451,14.0000,25.0000,0.7994,3.0000
TEa,132.0000,44.0000,44.0000,0.3333,0.3333,19.0000,25.0000,0.9200,3.0000
RSPd,6.0000,2.0000,2.0000,0.3333,0.3333,1.0000,1.0000,0.3918,1.0000
LGv,3.0000,2.0000,1.0000,0.6667,0.3333,0.0000,1.0000,1.2256,1.0000
PAG,3.0000,1.0000,1.0000,0.3333,0.3333,0.0000,1.0000,2.2402,1.0000
RSPagl,3.0000,1.0000,1.0000,0.3333,0.3333,0.0000,1.0000,0.5121,1.0000
FRP,132.0000,45.0000,43.0000,0.3409,0.3258,27.0000,16.0000,1.0983,3.0000
SSp,639.0000,210.0000,204.0000,0.3286,0.3192,113.0000,91.0000,0.7225,5.0000
VISal,97.0000,31.0000,30.0000,0.3196,0.3093,8.0000,22.0000,0.5014,2.0000
MOp,376.0000,115.0000,114.0000,0.3059,0.3032,61.0000,53.0000,0.7750,2.0000
VISam,73.0000,22.0000,22.0000,0.3014,0.3014,4.0000,18.0000,0.7792,1.0000
DP,77.0000,22.0000,22.0000,0.2857,0.2857,9.0000,13.0000,0.5817,2.0000
MOs,1150.0000,312.0000,298.0000,0.2713,0.2591,143.0000,155.0000,0.8558,5.0000
SSs,413.0000,107.0000,104.0000,0.2591,0.2518,55.0000,49.0000,0.7092,3.0000
PL,99.0000,24.0000,24.0000,0.2424,0.2424,12.0000,12.0000,1.1989,2.0000
ECT6a,86.0000,20.0000,20.0000,0.2326,0.2326,8.0000,12.0000,0.7561,1.0000
PPT,9.0000,2.0000,2.0000,0.2222,0.2222,0.0000,2.0000,0.5098,1.0000
SCdg,9.0000,2.0000,2.0000,0.2222,0.2222,1.0000,1.0000,0.5097,1.0000
ORBvl,339.0000,78.0000,75.0000,0.2301,0.2212,11.0000,64.0000,0.6915,2.0000
AUDp,312.0000,67.0000,64.0000,0.2147,0.2051,28.0000,36.0000,0.6509,2.0000
ORBm,79.0000,16.0000,16.0000,0.2025,0.2025,6.0000,10.0000,0.7377,1.0000
VISrl,10.0000,2.0000,2.0000,0.2000,0.2000,0.0000,2.0000,0.4748,1.0000
TTd,165.0000,31.0000,31.0000,0.1879,0.1879,13.0000,18.0000,0.6419,3.0000
ECT5,114.0000,21.0000,21.0000,0.1842,0.1842,10.0000,11.0000,0.6203,1.0000
AV,11.0000,2.0000,2.0000,0.1818,0.1818,0.0000,2.0000,0.2422,1.0000
HPF,11.0000,2.0000,2.0000,0.1818,0.1818,1.0000,1.0000,0.1539,1.0000
ILA,234.0000,44.0000,42.0000,0.1880,0.1795,14.0000,28.0000,0.7456,2.0000
ACAv,207.0000,38.0000,37.0000,0.1836,0.1787,15.0000,22.0000,0.5601,3.0000
VISp,57.0000,10.0000,10.0000,0.1754,0.1754,5.0000,5.0000,0.5698,1.0000
AUDd,52.0000,9.0000,9.0000,0.1731,0.1731,1.0000,8.0000,0.5603,1.0000
AUDv,86.0000,16.0000,14.0000,0.1860,0.1628,10.0000,4.0000,0.5418,2.0000
