structure,n_units,n_rule_updating,frac_rule_updating,n_baseline_robust,n_evoked_robust,n_early_higher,n_late_higher,median_abs_log2_ratio,n_sessions
ccb,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0000,0.5041,1.0000
PL,99.0000,15.0000,0.1515,15.0000,0.0000,10.0000,5.0000,1.2072,2.0000
MB,8.0000,1.0000,0.1250,1.0000,0.0000,0.0000,1.0000,0.3105,1.0000
VISrl,10.0000,1.0000,0.1000,1.0000,0.0000,1.0000,0.0000,0.3585,1.0000
CP,462.0000,41.0000,0.0887,41.0000,0.0000,39.0000,2.0000,1.0602,4.0000
TEa,132.0000,11.0000,0.0833,11.0000,0.0000,10.0000,1.0000,0.7992,3.0000
DP,77.0000,6.0000,0.0779,6.0000,0.0000,5.0000,1.0000,0.7986,2.0000
FRP,132.0000,9.0000,0.0682,9.0000,0.0000,8.0000,1.0000,0.8980,3.0000
SSs,413.0000,24.0000,0.0581,24.0000,0.0000,21.0000,3.0000,0.6194,3.0000
MOs,1150.0000,56.0000,0.0487,56.0000,0.0000,39.0000,17.0000,0.7170,5.0000
MOp,376.0000,18.0000,0.0479,18.0000,0.0000,10.0000,8.0000,0.6002,2.0000
ORBl,113.0000,5.0000,0.0442,5.0000,0.0000,3.0000,2.0000,0.7363,3.0000
ACAv,207.0000,9.0000,0.0435,9.0000,0.0000,3.0000,6.0000,0.4231,3.0000
AUDpo,23.0000,1.0000,0.0435,1.0000,0.0000,1.0000,0.0000,0.9461,1.0000
SSp,639.0000,27.0000,0.0423,27.0000,0.0000,17.0000,10.0000,0.5156,5.0000
RSPv,52.0000,2.0000,0.0385,2.0000,0.0000,0.0000,2.0000,0.6173,1.0000
GU,54.0000,2.0000,0.0370,2.0000,0.0000,2.0000,0.0000,0.6729,1.0000
ECT6a,86.0000,3.0000,0.0349,3.0000,0.0000,3.0000,0.0000,0.9140,1.0000
AON,33.0000,1.0000,0.0303,1.0000,0.0000,1.0000,0.0000,0.6893,1.0000
VISli,34.0000,1.0000,0.0294,1.0000,0.0000,1.0000,0.0000,0.6596,2.0000
VISam,73.0000,2.0000,0.0274,2.0000,0.0000,2.0000,0.0000,0.9293,1.0000
ACAd,157.0000,4.0000,0.0255,4.0000,0.0000,3.0000,1.0000,0.6410,5.0000
LSc,82.0000,2.0000,0.0244,2.0000,0.0000,2.0000,0.0000,0.8090,2.0000
TTd,165.0000,4.0000,0.0242,4.0000,0.0000,1.0000,3.0000,0.7194,3.0000
ILA,234.0000,5.0000,0.0214,5.0000,0.0000,4.0000,1.0000,0.8948,2.0000
VISal,97.0000,2.0000,0.0206,2.0000,0.0000,1.0000,1.0000,0.6525,2.0000
AUDd,52.0000,1.0000,0.0192,1.0000,0.0000,1.0000,0.0000,1.0761,1.0000
VISp,57.0000,1.0000,0.0175,1.0000,0.0000,1.0000,0.0000,0.3034,1.0000
ORBvl,339.0000,5.0000,0.0147,5.0000,0.0000,4.0000,1.0000,0.7106,2.0000
CA3,148.0000,2.0000,0.0135,2.0000,0.0000,0.0000,2.0000,0.3746,3.0000
LSr,235.0000,3.0000,0.0128,3.0000,0.0000,2.0000,1.0000,0.3760,3.0000
ORBm,79.0000,1.0000,0.0127,1.0000,0.0000,1.0000,0.0000,0.8661,1.0000
AUDv,86.0000,1.0000,0.0116,1.0000,0.0000,1.0000,0.0000,0.4456,2.0000
AUDp,312.0000,3.0000,0.0096,3.0000,0.0000,1.0000,2.0000,0.3940,2.0000
ECT5,114.0000,1.0000,0.0088,1.0000,0.0000,1.0000,0.0000,0.4895,1.0000
CA1,126.0000,1.0000,0.0079,1.0000,0.0000,1.0000,0.0000,0.7333,3.0000
MOB,43.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,1.0000
OLF,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,4.0000
AD,17.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,1.0000
PERI,16.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,1.0000
